file	avg_base_quality
04_29_24_PLAPR24_R1__E0000000__X00__240509_NextSeq_WW__001.trimmed.sorted.bam	32.7
04_29_24_SBAPR25_R1__E0000000__X00__240509_NextSeq_WW__001.trimmed.sorted.bam	32.7
04_29_24_SBAPR28_R1__E0000000__X00__240509_NextSeq_WW__001.trimmed.sorted.bam	32.7
05_06_24_ENCAPR29_R2__E0000000__X00__240512_NextSeq_WW__001.trimmed.sorted.bam	32.8
05_06_24_ENCMAY01_R1__E0000000__X00__240512_NextSeq_WW__001.trimmed.sorted.bam	32.9
05_06_24_PLAPR28_R1__E0000000__X00__240512_NextSeq_WW__001.trimmed.sorted.bam	32.8
05_06_24_PLAPR29_R2__E0000000__X00__240512_NextSeq_WW__001.trimmed.sorted.bam	32.8
05_06_24_PLAPR30_R1__E0000000__X00__240512_NextSeq_WW__001.trimmed.sorted.bam	32.8
05_06_24_PLMAY01_R2__E0000000__X00__240512_NextSeq_WW__001.trimmed.sorted.bam	32.8
05_06_24_SBAPR30_R2__E0000000__X00__240512_NextSeq_WW__001.trimmed.sorted.bam	32.9
05_06_24_SBMAY02_R1__E0000000__X00__240512_NextSeq_WW__001.trimmed.sorted.bam	32.8
05_13_24_ENCMAY06_R1__E0000000__X00__240518_NextSeq_WW__001.trimmed.sorted.bam	32.8
05_13_24_ENCMAY09_R2__E0000000__X00__240518_NextSeq_WW__001.trimmed.sorted.bam	32.9
05_13_24_PLMAY05_R2__E0000000__X00__240518_NextSeq_WW__001.trimmed.sorted.bam	32.8
05_13_24_PLMAY06_R1__E0000000__X00__240518_NextSeq_WW__001.trimmed.sorted.bam	32.8
05_13_24_PLMAY07_R1__E0000000__X00__240518_NextSeq_WW__001.trimmed.sorted.bam	32.8
05_13_24_PLMAY08_R1__E0000000__X00__240518_NextSeq_WW__001.trimmed.sorted.bam	32.8
05_13_24_SBMAY09_R2__E0000000__X00__240518_NextSeq_WW__001.trimmed.sorted.bam	32.9
05_13_24_SBMAY12_R2__E0000000__X00__240518_NextSeq_WW__001.trimmed.sorted.bam	32.8
05_28_24_ENCMAY24_R1__E0000000__X00__240624_1_SG_WW__001.trimmed.sorted.bam	38.1
05_28_24_ENCMAY27_R2__E0000000__X00__240624_1_SG_WW__001.trimmed.sorted.bam	37.9
05_28_24_PLMAY19_R1__E0000000__X00__240624_1_SG_WW__001.trimmed.sorted.bam	38.0
05_28_24_PLMAY20_R1__E0000000__X00__240624_1_SG_WW__001.trimmed.sorted.bam	38.0
05_28_24_PLMAY21_R1__E0000000__X00__240624_1_SG_WW__001.trimmed.sorted.bam	37.9
05_28_24_PLMAY22_R1__E0000000__X00__240624_1_SG_WW__001.trimmed.sorted.bam	38.0
05_28_24_SBMAY21_R2__E0000000__X00__240624_1_SG_WW__001.trimmed.sorted.bam	38.1
05_28_24_SBMAY23_R1__E0000000__X00__240624_1_SG_WW__001.trimmed.sorted.bam	38.0
06_03_24_ENCMAY28_R1__E0000000__X00__240624_2_SG_WW__001.trimmed.sorted.bam	38.0
06_03_24_ENCMAY31_R1__E0000000__X00__240624_2_SG_WW__001.trimmed.sorted.bam	38.0
06_03_24_PLMAY26_R1__E0000000__X00__240624_2_SG_WW__001.trimmed.sorted.bam	38.0
06_03_24_PLMAY27_R2__E0000000__X00__240624_2_SG_WW__001.trimmed.sorted.bam	37.9
06_03_24_PLMAY28_R2__E0000000__X00__240624_2_SG_WW__001.trimmed.sorted.bam	38.0
06_03_24_PLMAY29_R2__E0000000__X00__240624_2_SG_WW__001.trimmed.sorted.bam	38.0
06_03_24_SBJUN02_R2__E0000000__X00__240624_2_SG_WW__001.trimmed.sorted.bam	38.0
06_03_24_SBMAY28_R2__E0000000__X00__240624_2_SG_WW__001.trimmed.sorted.bam	38.0
06_10_24_ENCJUN04_R2__E0000000__X00__240624_4_SG_WW__001.trimmed.sorted.bam	38.0
06_10_24_ENCJUN05_R2__E0000000__X00__240624_4_SG_WW__001.trimmed.sorted.bam	38.0
06_10_24_PLJUN02_R2__E0000000__X00__240624_4_SG_WW__001.trimmed.sorted.bam	38.0
06_10_24_PLJUN03_R1__E0000000__X00__240624_4_SG_WW__001.trimmed.sorted.bam	38.0
06_10_24_PLJUN04_R1__E0000000__X00__240624_4_SG_WW__001.trimmed.sorted.bam	38.0
06_10_24_PLJUN05_R1__E0000000__X00__240624_4_SG_WW__001.trimmed.sorted.bam	38.0
06_10_24_SBJUN04_R1__E0000000__X00__240624_4_SG_WW__001.trimmed.sorted.bam	38.0
06_10_24_SBJUN09_R1__E0000000__X00__240624_4_SG_WW__001.trimmed.sorted.bam	38.0
06_17_24_ENCJUN10_R2__E0000000__X00__240627_1_SG_WW__001.trimmed.sorted.bam	37.9
06_17_24_ENCJUN12_R1__E0000000__X00__240627_1_SG_WW__001.trimmed.sorted.bam	37.9
06_17_24_PLJUN09_R2__E0000000__X00__240627_1_SG_WW__001.trimmed.sorted.bam	37.9
06_17_24_PLJUN10_R2__E0000000__X00__240627_1_SG_WW__001.trimmed.sorted.bam	37.9
06_17_24_PLJUN11_R2__E0000000__X00__240627_1_SG_WW__001.trimmed.sorted.bam	37.8
06_17_24_PLJUN12_R1__E0000000__X00__240627_1_SG_WW__001.trimmed.sorted.bam	37.8
06_17_24_SBJUN16_R1__E0000000__X00__240627_1_SG_WW__001.trimmed.sorted.bam	37.9
06_18_24_SBJUN13_R2__E0000000__X00__240627_1_SG_WW__001.trimmed.sorted.bam	37.9
06_24_24_ENCJUN19_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam	38.1
06_24_24_ENCJUN20_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam	38.0
06_24_24_PLJUN16_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam	38.1
06_24_24_PLJUN17_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam	38.0
06_24_24_PLJUN18_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam	38.1
06_24_24_PLJUN19_R1__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam	38.1
06_24_24_SBJUN20_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam	38.0
06_24_24_SBJUN23_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam	38.0
07_01_24_ENCJUN26_R2__E0000000__X00__240712_1_SG_WW__001.trimmed.sorted.bam	37.8
07_01_24_ENCJUN28_R2__E0000000__X00__240712_1_SG_WW__001.trimmed.sorted.bam	37.8
07_01_24_PLJUN23_R2__E0000000__X00__240712_1_SG_WW__001.trimmed.sorted.bam	37.8
07_01_24_PLJUN24_R1__E0000000__X00__240712_1_SG_WW__001.trimmed.sorted.bam	37.9
07_01_24_PLJUN25_R2__E0000000__X00__240712_1_SG_WW__001.trimmed.sorted.bam	37.9
07_01_24_PLJUN26_R1__E0000000__X00__240712_1_SG_WW__001.trimmed.sorted.bam	37.9
07_01_24_SBJUN25_R1__E0000000__X00__240712_1_SG_WW__001.trimmed.sorted.bam	37.8
07_01_24_SBJUN27_R2__E0000000__X00__240712_1_SG_WW__001.trimmed.sorted.bam	37.9
07_08_24_ENCJUL03_R2__E0000000__X00__240712_2_SG_WW__001.trimmed.sorted.bam	37.9
07_08_24_ENCJUL05_R1__E0000000__X00__240712_2_SG_WW__001.trimmed.sorted.bam	37.8
07_08_24_PLJUL01_R1__E0000000__X00__240712_2_SG_WW__001.trimmed.sorted.bam	37.9
07_08_24_PLJUL03_R2__E0000000__X00__240712_2_SG_WW__001.trimmed.sorted.bam	37.9
